StudentID,FinalGrade,SurfaceScore,DeepScore,StructuralScore,BehaviouralScore
1,54.56999323912536,18.853956752643324,20.466468972947045,18.85468626318207,19.156421602041306
2,42.129091095148745,18.305225740248215,18.035414151952466,16.911264559766323,18.52967628194209
3,46.72282821691054,16.75389362600103,17.036688179489886,16.963760537451943,17.399994703389872
4,42.74906102413144,16.46064548145873,17.650708544738265,17.29091189989702,18.661927483926192
5,53.91096986255749,20.04201386874329,20.513248829282638,20.201052604663865,20.873968410980257
6,68.25440751577325,21.551463643096238,25.880270889060625,20.92208759790469,20.440430815277647
7,57.96286424660111,19.646917300450703,19.89766741669439,20.506098827714276,21.82490651378818
8,63.16985595704379,19.62718256690161,20.96665298406085,20.46770710246546,23.329210075618533
9,35.60521000683048,17.174546423716723,17.445938064880515,15.300298969315868,11.708263186823057
10,29.583547178947583,15.024358214877834,16.224492176934753,13.947915284938121,16.912592483186934
11,47.52616746316843,16.549503844780492,19.57631516312889,20.257247108051267,16.903723211929677
12,27.93221667112875,14.909461432494329,16.073117568524676,16.15269158062254,20.15092061579003
13,25.174851170250495,14.408937657464241,19.17852690969228,16.337818017884995,14.19900953719163
14,48.94419046547421,19.192054605436873,21.00233043291494,18.274476399426256,15.91751298674327
15,36.062479764781656,17.098176094608274,16.479277223003884,15.673086853623031,15.985325071187058
16,39.29014035495154,17.446745729820364,17.792994658636697,18.31836579503927,22.361135668803147
17,51.88117612288363,17.52493107115356,17.354341680979363,17.86443831745845,18.572582100448606
18,37.3179776002377,18.259213090304936,17.04243974189895,17.507615660124188,14.856450805056463
19,24.45149949625772,10.916850891354763,14.839551952141145,16.241993182292134,14.104776909924507
20,27.660077290175767,18.48468700371424,15.080093424957628,10.649324929121066,16.738262548597373
21,31.325962215989705,17.346580639326422,15.609447608177021,13.85029451087863,15.37911886635128
22,42.57201165617099,17.191103089906903,16.35248050084901,16.57158747793662,14.923200207855045
23,38.15211668858272,18.336181370939606,15.419359558084015,15.748154212798752,11.47765179901557
24,67.7656688985052,24.095093874775742,23.82727172409011,23.82209142057885,20.036427871975633
25,32.899583860568285,17.250677915766616,16.18318982471997,13.667923361073143,16.978779096707047
26,23.940527824758224,14.873604221372293,14.21295491549052,14.588575299173158,12.923028602337205
