StudentID,Week,EngagementScore
1,1,11.736989412609713
1,2,8.416706513492281
1,3,9.287501593851712
1,4,10.76025135615172
1,5,10.969214622411481
1,6,8.007661777835185
1,7,6.687205135320703
1,8,8.956275825325115
1,9,8.240720565153055
1,10,10.848532604200514
1,11,7.742999997373836
1,12,6.901704981680328
1,13,8.217528754295216
1,14,10.124788825272901
1,15,6.24337868910056
1,16,7.960224835893852
2,1,7.2321288565069075
2,2,9.504837877066237
2,3,8.88423482326366
2,4,7.899253804766246
2,5,8.059358086344831
2,6,11.211787363585813
2,7,10.723028371342524
2,8,9.692963412018427
2,9,8.94152930135148
2,10,7.9168209937729355
2,11,8.132973185200063
2,12,8.651464109032789
2,13,7.586322648529301
2,14,8.560255760322418
2,15,6.759590191440282
2,16,6.978867520562794
3,1,6.68077969838549
3,2,10.616231266712969
3,3,10.91302661941141
3,4,9.37163329651023
3,5,7.526611435097953
3,6,10.65207491595845
3,7,7.208118612392458
3,8,9.47756566606948
3,9,9.165059353955257
3,10,7.896704420039535
3,11,8.06859311012008
3,12,9.42126285648787
3,13,7.254500838231325
3,14,9.983478779331165
3,15,8.152363299241824
3,16,9.041923364063242
4,1,6.888738680337587
4,2,9.223677518247374
4,3,10.74127019284747
4,4,8.21270191117102
4,5,11.893635642188999
4,6,10.958131309408673
4,7,9.709737072578775
4,8,9.344212873979492
4,9,10.021504149596288
4,10,10.436757718442596
4,11,8.906003090971796
4,12,10.492900500998148
4,13,7.146487814999562
4,14,10.683111789992097
4,15,5.797443461362541
4,16,8.278293834197155
5,1,10.267268855094407
5,2,10.998921084749808
5,3,10.620545161750881
5,4,10.378538590081547
5,5,11.712983215682101
5,6,12.136450625875222
5,7,10.614106068034628
5,8,10.72868759378136
5,9,8.180659196396272
5,10,8.633771576264708
5,11,6.55981860443509
5,12,10.548166881970285
5,13,8.087349418426104
5,14,11.414902673458352
5,15,6.98046201931468
5,16,7.52275752304338
6,1,9.319686880213814
6,2,9.085064805076136
6,3,11.346097138624643
6,4,9.115134468480312
6,5,11.373967690589252
6,6,10.081964923730395
6,7,8.143675555889864
6,8,9.341825495787038
6,9,7.3828023936676495
6,10,6.1767752409039325
6,11,8.452851366110362
6,12,10.622665767062477
6,13,8.887309418499793
6,14,8.93160894476795
6,15,5.296424960887077
