StudentID,Subject,AssessmentType,Week,TotalScore,SurfaceScore,DeepScore,StructuralScore,BehaviouralScore
1,Mathematics,Quiz,2,87.70784928944737,29.171375307561767,20.125346737780188,22.14627733666986,26.357215974397135
1,Mathematics,Midterm,12,82.25381308787651,13.173303262171057,20.28077843172011,27.114658723941368,24.47913329270706
1,Mathematics,Assignment,3,88.28604031669306,4.850286148671298,13.312871422262637,0.0,10.107606762648599
1,Mathematics,Final,8,93.37585985128013,21.045375577409956,26.21707727703026,12.461778531829308,17.345619820374047
1,Physics,Quiz,14,75.46486571811297,22.788408463818264,33.085663483113684,34.79502346648515,24.30641129346259
1,Physics,Midterm,10,66.8277550299877,19.92791306010619,39.25382759820769,27.028468577835287,32.94361724229972
1,Physics,Assignment,3,89.88102242631795,27.75702662350422,35.15273117062821,22.67440756290202,12.441153078283381
1,Physics,Final,1,89.68172646706603,8.058144589944055,9.491894030441637,19.913677205904918,3.0032376341786673
1,English_Literature,Quiz,8,55.60951998185208,10.167785301779814,15.124047305431763,13.804574696088938,13.018283037800561
1,English_Literature,Midterm,7,78.32384784528222,19.55410708254594,9.195158324981152,12.065065446459341,15.75415744225856
1,English_Literature,Assignment,7,89.68182993368265,21.54617887280164,19.180714846492915,10.798348451988485,22.428264848753862
1,English_Literature,Final,1,92.60713402047217,24.90476489544371,21.69488512632299,34.77641260967711,39.314569118929455
1,History,Quiz,7,87.44614325323862,27.665739954807627,22.887027145111542,10.621917117167472,19.355073810418734
1,History,Midterm,1,74.0295162395523,24.14644935925893,16.96342220965704,16.138922235887808,18.046956365144368
1,History,Assignment,11,71.80304677123695,19.50132038619381,21.465775153942186,37.33544824807605,27.601445911004134
1,History,Final,16,58.460450612623944,7.405129156274908,4.032283304028718,0.0,0.0
2,Mathematics,Quiz,14,60.08564402606244,10.809619859666334,14.900458913272612,18.21444408050214,11.844054816245007
2,Mathematics,Midterm,6,75.55427530879852,22.112223310166392,16.918186537683113,32.29868152992486,33.555260028329336
2,Mathematics,Assignment,14,76.07038935339726,11.286995335778311,24.431787317562073,3.4910143778491154,0.0
2,Mathematics,Final,3,62.74502649883905,19.011201026925463,27.86363787990765,9.269923721550768,26.579441522345668
2,Physics,Quiz,3,78.52693901782743,15.682799690091091,2.861304251157211,9.626897836242879,0.0
2,Physics,Midterm,7,58.989780052412215,32.27385482966836,27.969884631188954,44.93109464374453,18.650033361293403
2,Physics,Assignment,11,86.17298981234637,16.104799986962373,21.07022510204136,5.991463878322493,18.518745654989004
2,Physics,Final,11,84.88727964521401,23.793984158746564,20.239555930869162,12.200269307521303,10.474626764990873
2,English_Literature,Quiz,5,77.71758428140247,15.988296615720497,28.755266252179712,23.555811811885413,21.88729540451323
2,English_Literature,Midterm,15,73.51761510626184,13.543679715795061,11.667806785370793,22.536710559994027,29.018503097860986
2,English_Literature,Assignment,10,79.66293283594909,24.706192140861972,28.793110771395767,15.479132478279741,13.075660045210961
2,English_Literature,Final,8,64.4016734927918,14.018089338076376,8.586721870937279,14.000746386569919,11.67315754601875
2,History,Quiz,9,74.56951327619552,0.0,13.294610944603233,0.0,15.576077820148994
2,History,Midterm,6,67.73837377030503,17.77394950853965,1.4754436426429614,8.672768378869376,29.01073142868065
2,History,Assignment,10,83.74566256706676,41.361808480941185,29.15749425406679,25.576368716804033,28.88159550587447
2,History,Final,1,93.52079858253734,14.416117846031803,10.581131346360808,24.734905248200597,27.72963751457214
3,Mathematics,Quiz,3,67.66577203808203,45.95409332161891,43.69543629783653,39.00560000731991,30.516640792112796
3,Mathematics,Midterm,13,65.03477628788164,16.698679717749723,14.386234766902223,11.931562347151427,18.109908771562182
3,Mathematics,Assignment,9,85.32847714239097,24.28214327100595,26.56375153811831,19.85812802166333,30.69868587035802
3,Mathematics,Final,8,65.10206628266258,13.53757052086872,18.112605699055997,12.902238733178702,12.96769143398086
3,Physics,Quiz,8,80.45685391683374,1.8199811425106027,1.3874976477593748,1.2480024711302562,13.21920509771201
3,Physics,Midterm,3,76.3318467023188,7.405515498934667,0.0,0.6507867483419609,6.453825486527457
3,Physics,Assignment,12,66.01603229537209,14.340253805905856,26.35748426296099,34.79233223920378,24.007216758835128
3,Physics,Final,13,74.57918542688564,30.780726712754756,23.01443164526463,22.323640393578472,13.781489369671622
3,English_Literature,Quiz,7,81.98887013172687,18.367775175338835,28.998209792097455,19.414621799376437,17.17003509211323
3,English_Literature,Midterm,12,61.553113049578954,0.0,0.0,0.0,0.0
3,English_Literature,Assignment,16,82.4029130800398,7.662461986349115,19.171548527911384,6.709887328446591,5.224076029336821
3,English_Literature,Final,16,66.34922424441889,15.315714623263695,0.10109343275443905,11.194666035992206,5.869373808281832
3,History,Quiz,8,85.08337293979659,15.523708076952966,5.811928647215005,21.122366280770713,29.205613034033824
3,History,Midterm,11,78.41173829565686,15.62465125990446,27.381671024180086,25.368760447121304,19.031640820027626
3,History,Assignment,8,62.512400174635495,15.427365271269602,18.158689855484354,20.77395920728353,23.73119847636582
