StudentID,SleepHours,StressLevel,ParentalInvolvement,InternetAccessQuality
1,6.058190517985622,1.0,Medium,Average
2,6.717266492503831,4.7884785619508365,Low,Good
3,6.798544609808725,4.591590484882616,Medium,Average
4,6.088873398250861,3.649737982834446,Medium,Average
5,7.080707825854176,4.159140139540892,Low,Average
6,7.360711898600332,5.839796512475405,Low,Good
7,4.472623521821767,5.47322986441581,Medium,Average
8,7.166003689072601,1.8101726764222903,High,Poor
9,6.123792840604815,3.596388660055753,Medium,Good
10,6.345934970576021,6.13004287938923,Low,Average
11,5.482690132717094,5.180315562982353,Medium,Average
12,6.2232456523267325,5.685645823971272,Low,Good
13,10.170925892533988,6.656374387955542,High,Average
14,7.545040288636142,8.486840070472745,Medium,Average
15,5.297624022954494,5.625609089411281,Low,Average
16,6.957034343262808,5.828379286807513,Medium,Good
17,7.502634801129235,3.8664372589211804,Medium,Average
18,7.16133650197469,2.8756628601204857,Low,Good
19,7.085983050836871,6.759187272704789,Medium,Average
20,7.864191100538114,5.614942297571474,Medium,Average
21,4.160441939857411,4.116936868428801,Medium,Good
22,8.342752344823715,7.897379125906378,Medium,Good
23,6.605711763493101,6.51003856227549,High,Good
24,7.309736211566779,4.632481758828344,Medium,Average
25,5.8689769815120245,5.101788010237936,Medium,Average
26,6.535122935213473,3.4738994157561542,Medium,Good
27,6.835536982757049,6.770237294644644,High,Good
28,6.256736421804427,3.1376246646609096,Medium,Good
29,6.061618502937964,5.273029133658715,Medium,Average
30,5.023885125180293,6.358524885858433,Medium,Average
31,5.006418888076826,5.793025410905294,High,Good
32,7.100104113643779,5.872329086183401,Medium,Average
33,9.01891143396715,3.4302479315350785,Medium,Average
34,5.926529732290295,3.8193311599862305,High,Good
35,6.977203382493398,5.204589847086882,Medium,Poor
36,5.835095567638673,5.499511037871331,Medium,Average
37,7.234646603686372,5.044348400136544,Medium,Poor
38,4.642348775369905,4.744668001980537,Medium,Good
39,7.048953753677795,5.764209793839317,Medium,Average
40,7.157084498611379,4.945116427735039,Medium,Poor
41,7.392947141767257,4.2467239085398205,High,Average
42,5.54174758786888,3.030934301234049,Medium,Average
43,4.76615043656456,8.581160785494419,High,Good
44,7.319484297207605,8.109888596017958,Low,Good
45,7.264876980371754,5.4221284896016515,Medium,Average
46,7.045425302524119,6.168009429433864,Medium,Average
47,8.14011293979449,4.216700065751399,Medium,Good
48,6.376001621039677,4.281334561482805,Medium,Average
49,7.082332011634267,4.508726753014797,Medium,Good
50,7.707572776742586,6.487350117174371,Medium,Good
51,4.78916339136371,2.6406924259355704,Medium,Good
52,6.352039361500171,5.584186480281531,Medium,Good
53,6.309662545905352,6.32851013839371,Low,Good
54,8.520754818614039,4.740579430592171,Low,Good
55,6.282940161036424,5.693406195472065,Low,Average
56,7.794356538739564,3.577018118533017,Medium,Average
57,8.090755970135918,5.08293946418978,Low,Good
